"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:247" "P36" 2791658 "Run2" 13 "50%" "0" 0 99 0 1 0.00645552
"1:248" "P36" 2817538 "Run2" 14 "50%" "0" 0 100 0 1 0.00606485
"1:249" "P36" 2841098 "Run2" 15 "75%" "0" 0 100 0 1 0.0061564
"1:250" "P36" 2866086 "Run2" 16 "25%" "0" 0 100 0 1 0.00580322
"1:251" "P36" 2891002 "Run2" 17 "25%" "2" 1 0 96 1 0.0225439
"1:252" "P36" 2916042 "Run2" 18 "100%" "3" 1 0 100 1 0.11992
"1:253" "P36" 3015402 "Run3" 1 "25%" "0" 0 99 0 1 0.00888449
"1:254" "P36" 3039370 "Run3" 2 "100%" "1" 1 0 94 1 0.00706873
"1:255" "P36" 3066330 "Run3" 3 "0%" "0" 0 100 0 1 0.00542861
"1:256" "P36" 3090842 "Run3" 4 "0%" "0" 0 99 0 1 0.00539941
"1:257" "P36" 3116610 "Run3" 5 "50%" "0" 0 100 0 1 0.00694299
"1:258" "P36" 3139801 "Run3" 6 "75%" "3" 1 0 100 1 0.229579
"1:259" "P36" 3165058 "Run3" 7 "50%" "0" 0 99 0 1 0.00683534
"1:260" "P36" 3190101 "Run3" 8 "100%" "2" 1 0 100 1 0.0952826
"1:261" "P36" 3215217 "Run3" 9 "75%" "0" 0 99 0 1 0.0066704
"1:262" "P36" 3238889 "Run3" 10 "25%" "0" 0 98 0 1 0.00718717
"1:263" "P36" 3263721 "Run3" 11 "100%" "3" 1 0 100 1 0.220364
"1:264" "P36" 3289581 "Run3" 12 "50%" "0" 0 100 0 1 0.00647751
"1:265" "P36" 3312677 "Run3" 13 "75%" "0" 0 84 0 1 0.00581678
"1:266" "P36" 3336949 "Run3" 14 "0%" "0" 0 100 0 1 0.00893325
"1:267" "P36" 3361657 "Run3" 15 "25%" "1" 1 0 100 1 0.00735521
"1:268" "P36" 3387725 "Run3" 16 "50%" "2" 1 0 100 1 0.006003
"1:269" "P36" 3411001 "Run3" 17 "75%" "0" 0 100 0 1 0.0150408
"1:270" "P36" 3435054 "Run3" 18 "25%" "0" 0 100 0 1 0.00603804
"1:271" "P41" 2665397 "Run1" 1 "75%" "0" 0 63 0 1 0.0274502
"1:272" "P41" 2689669 "Run1" 2 "50%" "0" 0 59 0 1 0.0253673
"1:273" "P41" 2712869 "Run1" 3 "75%" "0" 0 57 0 1 0.0229043
"1:274" "P41" 2741333 "Run1" 4 "50%" "3" 1 0 71 1 0.0709034
"1:275" "P41" 2766885 "Run1" 5 "50%" "0" 0 55 0 1 0.0215155
"1:276" "P41" 2791909 "Run1" 6 "25%" "0" 0 39 0 1 0.0207211
"1:277" "P41" 2814469 "Run1" 7 "50%" "0" 0 41 0 1 0.0248253
"1:278" "P41" 2838461 "Run1" 8 "0%" "0" 0 26 0 1 0.0220292
"1:279" "P41" 2864213 "Run1" 9 "25%" "0" 0 22 0 1 0.0269741
"1:280" "P41" 2886709 "Run1" 10 "0%" "0" 0 23 0 1 0.025875
"1:281" "P41" 2910549 "Run1" 11 "25%" "0" 0 52 0 1 0.0248174
"1:282" "P41" 2934500 "Run1" 12 "100%" "3" 1 0 69 1 0.0851905
"1:283" "P41" 2956876 "Run1" 13 "100%" "2" 1 0 58 1 0.0508948
"1:284" "P41" 2982140 "Run1" 14 "0%" "0" 0 10 0 1 0.0181263
"1:285" "P41" 3005284 "Run1" 15 "100%" "1" 1 0 30 1 0.0288682
"1:286" "P41" 3028725 "Run1" 16 "75%" "0" 0 34 0 1 0.0247114
"1:287" "P41" 3053148 "Run1" 17 "75%" "2" 1 0 61 1 0.0661842
"1:288" "P41" 3077556 "Run1" 18 "25%" "1" 1 0 14 1 0.0253452
"1:289" "P41" 3175748 "Run2" 1 "50%" "0" 0 53 0 1 0.0172315
"1:290" "P41" 3199709 "Run2" 2 "25%" "0" 0 26 0 1 0.0257161
"1:291" "P41" 3223876 "Run2" 3 "0%" "0" 0 13 0 1 0.0255086
"1:292" "P41" 3248500 "Run2" 4 "0%" "0" 0 12 0 1 0.0218349
"1:293" "P41" 3273348 "Run2" 5 "50%" "1" 1 0 17 1 0.0404091
"1:294" "P41" 3296372 "Run2" 6 "25%" "2" 1 0 61 1 0.0557574
"1:295" "P41" 3319252 "Run2" 7 "25%" "0" 0 9 0 1 0.0285666
"1:296" "P41" 3342756 "Run2" 8 "75%" "0" 0 74 0 1 0.0246231
"1:297" "P41" 3366404 "Run2" 9 "25%" "0" 0 58 0 1 0.0230917
"1:298" "P41" 3391012 "Run2" 10 "0%" "0" 0 8 0 1 0.0255809
"1:299" "P41" 3413764 "Run2" 11 "100%" "3" 1 0 75 1 0.0873994
"1:300" "P41" 3438044 "Run2" 12 "100%" "1" 1 0 6 1 0.0158879
"1:301" "P41" 3462468 "Run2" 13 "50%" "0" 0 10 0 1 0.0255704
"1:302" "P41" 3484108 "Run2" 14 "100%" "2" 1 0 59 1 0.0823721
"1:303" "P41" 3508212 "Run2" 15 "75%" "3" 1 0 78 1 0.0973982
"1:304" "P41" 3531988 "Run2" 16 "75%" "0" 0 41 0 1 0.0224439
"1:305" "P41" 3556340 "Run2" 17 "50%" "0" 0 71 0 1 0.0234714
"1:306" "P41" 3579484 "Run2" 18 "75%" "0" 0 65 0 1 0.0261441
"1:307" "P41" 3678539 "Run3" 1 "75%" "0" 0 77 0 1 0.0322319
"1:308" "P41" 3700323 "Run3" 2 "100%" "2" 1 0 61 1 0.0688539
"1:309" "P41" 3723387 "Run3" 3 "0%" "0" 0 9 0 1 0.0189962
"1:310" "P41" 3747731 "Run3" 4 "0%" "0" 0 11 0 1 0.0219853
"1:311" "P41" 3770715 "Run3" 5 "100%" "1" 1 0 22 1 0.0246908
"1:312" "P41" 3794339 "Run3" 6 "50%" "0" 0 60 0 1 0.0276404
"1:313" "P41" 3818931 "Run3" 7 "25%" "0" 0 16 0 1 0.025475
"1:314" "P41" 3842723 "Run3" 8 "75%" "1" 1 0 14 1 0.0427719
