"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:173" "P06" 2769837 "Run1" 11 "0%" "0" 0 40 0 1 0.0273958
"1:174" "P06" 2796333 "Run1" 12 "0%" "0" 0 36 0 1 0.024989
"1:175" "P06" 2824965 "Run1" 13 "50%" "0" 0 25 0 1 0.027333
"1:176" "P06" 2849821 "Run1" 14 "100%" "3" 1 0 70 1 0.0672447
"1:177" "P06" 2879469 "Run1" 15 "0%" "0" 0 31 0 1 0.0186875
"1:178" "P06" 2906717 "Run1" 16 "25%" "0" 0 0 0 1 0.0254961
"1:179" "P06" 2934638 "Run1" 17 "25%" "2" 1 0 35 1 0.02889
"1:180" "P06" 2957605 "Run1" 18 "100%" "1" 1 0 23 1 0.0197902
"1:181" "P06" 3062885 "Run2" 1 "0%" "0" 0 0 0 1 0.0148967
"1:182" "P06" 3088189 "Run2" 2 "50%" "0" 0 20 0 1 0.0203334
"1:183" "P06" 3112260 "Run2" 3 "25%" "0" 0 13 0 1 0.0162772
"1:184" "P06" 3137669 "Run2" 4 "75%" "2" 1 0 47 1 0.0240024
"1:185" "P06" 3164597 "Run2" 5 "50%" "1" 1 0 18 1 0.0212733
"1:186" "P06" 3191284 "Run2" 6 "75%" "0" 0 18 0 1 0.0153473
"1:187" "P06" 3216692 "Run2" 7 "25%" "0" 0 15 0 1 0.022058
"1:188" "P06" 3243988 "Run2" 8 "100%" "1" 1 0 14 1 0.0263762
"1:189" "P06" 3268556 "Run2" 9 "100%" "2" 1 0 46 1 0.0235712
"1:190" "P06" 3294732 "Run2" 10 "0%" "0" 0 0 0 1 0.0212391
"1:191" "P06" 3318932 "Run2" 11 "100%" "3" 1 0 76 1 0.0351207
"1:192" "P06" 3344868 "Run2" 12 "25%" "0" 0 26 0 1 0.0183189
"1:193" "P06" 3371116 "Run2" 13 "50%" "0" 0 58 0 1 0.0225347
"1:194" "P06" 3397220 "Run2" 14 "0%" "0" 0 22 0 1 0.0234258
"1:195" "P06" 3421276 "Run2" 15 "50%" "0" 0 56 0 1 0.0169782
"1:196" "P06" 3445020 "Run2" 16 "25%" "3" 1 0 71 1 0.0211974
"1:197" "P06" 3467316 "Run2" 17 "75%" "0" 0 69 0 1 0.018214
"1:198" "P06" 3489996 "Run2" 18 "75%" "0" 0 75 0 1 0.0179653
"1:199" "P06" 3587709 "Run3" 1 "50%" "0" 0 66 0 1 0.0265374
"1:200" "P06" 3619260 "Run3" 2 "50%" "2" 1 0 67 1 0.0233297
"1:201" "P06" 3645068 "Run3" 3 "100%" "3" 1 0 89 1 0.0249039
"1:202" "P06" 3668748 "Run3" 4 "100%" "1" 1 0 15 1 0.0213959
"1:203" "P06" 3692740 "Run3" 5 "25%" "0" 0 61 0 1 0.0230774
"1:204" "P06" 3717324 "Run3" 6 "25%" "1" 1 0 18 1 0.0197003
"1:205" "P06" 3742292 "Run3" 7 "0%" "0" 0 63 0 1 0.0195494
"1:206" "P06" 3770756 "Run3" 8 "100%" "2" 1 0 35 1 0.0209043
"1:207" "P06" 3795036 "Run3" 9 "25%" "0" 0 83 0 1 0.0196601
"1:208" "P06" 3819140 "Run3" 10 "50%" "0" 0 63 0 1 0.0220449
"1:209" "P06" 3845228 "Run3" 11 "75%" "0" 0 87 0 1 0.019981
"1:210" "P06" 3869388 "Run3" 12 "0%" "0" 0 37 0 1 0.0279611
"1:211" "P06" 3893420 "Run3" 13 "25%" "0" 0 57 0 1 0.0224372
"1:212" "P06" 3918668 "Run3" 14 "0%" "0" 0 37 0 1 0.0237824
"1:213" "P06" 3944236 "Run3" 15 "75%" "0" 0 33 0 1 0.0227209
"1:214" "P06" 3969476 "Run3" 16 "75%" "3" 1 0 88 1 0.0284074
"1:215" "P06" 3993220 "Run3" 17 "50%" "0" 0 81 0 1 0.0224182
"1:216" "P06" 4015980 "Run3" 18 "75%" "0" 0 65 0 1 0.0200962
"1:217" "P07" 2157860 "Run1" 1 "25%" "1" 1 0 3 1 0.0258181
